x,y
0.019820,0.000000
-0.012119,0.005505
0.006975,-0.003282
-0.014673,-0.011819
-0.019790,-0.001953
0.001858,-0.011356
-0.001241,-0.010202
-0.000631,0.005600
0.005871,0.011643
-0.011234,0.000644
0.001616,-0.005619
-0.000259,-0.000173
-0.006418,0.005275
-0.016197,-0.011224
0.002283,-0.019866
-0.006158,-0.017268
-0.011000,-0.011445
-0.003885,0.004680
0.000786,-0.003610
-0.013600,-0.009425
-0.007485,-0.018531
-0.001819,0.003713
-0.015958,-0.009596
0.017779,0.009075
-0.001546,-0.000507
0.006174,0.000123
-0.003494,-0.012572
0.006653,0.018578
-0.017812,-0.009044
-0.013727,-0.003690
0.005358,0.018677
-0.004523,0.016556
0.004600,0.000000
-0.004523,-0.016556
0.005358,-0.018677
-0.013727,0.003690
-0.017812,0.009044
0.006653,-0.018578
-0.003494,0.012572
0.006174,-0.000123
-0.001546,0.000507
0.017779,-0.009075
-0.015958,0.009596
-0.001819,-0.003713
-0.007485,0.018531
-0.013600,0.009425
0.000786,0.003610
-0.003885,-0.004680
-0.011000,0.011445
-0.006158,0.017268
0.002283,0.019866
-0.016197,0.011224
-0.006418,-0.005275
-0.000259,0.000173
0.001616,0.005619
-0.011234,-0.000644
0.005871,-0.011643
-0.000631,-0.005600
-0.001241,0.010202
0.001858,0.011356
-0.019790,0.001953
-0.014673,0.011819
0.006975,0.003282
-0.012119,-0.005505
