iterations,bucket0,magnetism0,bucket1,magnetism1,bucket2,magnetism2,bucket3,magnetism3,bucket4,magnetism4,bucket5,magnetism5,bucket6,magnetism6,bucket7,magnetism7,bucket8,magnetism8,bucket9,magnetism9
1,142,0.998457,192,0.998457,322,0.998457,432,0.998457,592,0.998457,817,0.998457,1142,0.998457,1632,0.998457,2367,0.998457,2367,0.998457
2,134,0.996914,184,0.996914,314,0.996914,424,0.996914,584,0.996914,809,0.996914,1134,0.996914,1624,0.996914,2359,0.996914,2359,0.996914
3,126,0.99537,180,0.99537,306,0.99537,416,0.99537,576,0.99537,801,0.99537,1126,0.99537,1616,0.99537,2351,0.99537,2351,0.99537
4,118,0.993827,172,0.993827,298,0.993827,408,0.993827,568,0.993827,793,0.993827,1118,0.993827,1608,0.993827,2343,0.993827,2343,0.993827
5,110,0.992284,164,0.992284,290,0.992284,400,0.992284,560,0.992284,785,0.992284,1110,0.992284,1600,0.992284,2335,0.992284,2335,0.992284
6,102,0.990741,156,0.990741,282,0.990741,392,0.990741,552,0.990741,777,0.990741,1102,0.990741,1592,0.990741,2327,0.990741,2327,0.990741
7,94,0.989198,148,0.989198,274,0.989198,400,0.992284,544,0.989198,769,0.989198,1094,0.989198,1584,0.989198,2319,0.989198,2319,0.989198
8,86,0.987654,140,0.987654,266,0.987654,392,0.990741,536,0.987654,761,0.987654,1086,0.987654,1576,0.987654,2311,0.987654,2327,0.990741
9,78,0.986111,132,0.986111,258,0.986111,384,0.989198,528,0.986111,753,0.986111,1078,0.986111,1568,0.986111,2303,0.986111,2319,0.989198
10,70,0.984568,124,0.984568,250,0.984568,376,0.987654,520,0.984568,745,0.984568,1070,0.984568,1560,0.984568,2295,0.984568,2311,0.987654
11,62,0.983025,116,0.983025,242,0.983025,368,0.986111,512,0.983025,737,0.983025,1062,0.983025,1552,0.983025,2287,0.983025,2303,0.986111
12,54,0.981481,108,0.981481,234,0.981481,360,0.984568,504,0.981481,729,0.981481,1054,0.981481,1544,0.981481,2279,0.981481,2295,0.984568
13,46,0.979938,100,0.979938,226,0.979938,352,0.983025,496,0.979938,721,0.979938,1046,0.979938,1536,0.979938,2271,0.979938,2287,0.983025
14,38,0.978395,92,0.978395,218,0.978395,344,0.981481,488,0.978395,717,0.978395,1038,0.978395,1528,0.978395,2263,0.978395,2279,0.981481
15,34,0.976852,84,0.976852,226,0.979938,336,0.979938,480,0.976852,709,0.976852,1030,0.976852,1520,0.976852,2255,0.976852,2271,0.979938
16,26,0.975309,76,0.975309,218,0.978395,328,0.978395,472,0.975309,701,0.975309,1022,0.975309,1512,0.975309,2247,0.975309,2263,0.978395
17,18,0.973765,68,0.973765,210,0.976852,320,0.976852,464,0.973765,693,0.973765,1030,0.976852,1504,0.973765,2239,0.973765,2255,0.976852
18,10,0.972222,60,0.972222,202,0.975309,312,0.975309,456,0.972222,685,0.972222,1022,0.975309,1496,0.972222,2231,0.972222,2247,0.975309
19,2,0.970679,52,0.970679,194,0.973765,304,0.973765,448,0.970679,677,0.970679,1014,0.973765,1488,0.970679,2223,0.970679,2239,0.973765
20,2,0.969136,44,0.969136,186,0.972222,296,0.972222,440,0.969136,669,0.969136,1006,0.972222,1480,0.969136,2215,0.969136,2231,0.972222
21,2,0.969136,36,0.967593,178,0.970679,288,0.970679,448,0.970679,677,0.970679,998,0.970679,1472,0.967593,2207,0.967593,2223,0.970679
22,2,0.969136,28,0.966049,170,0.969136,280,0.969136,440,0.969136,669,0.969136,990,0.969136,1464,0.966049,2199,0.966049,2215,0.969136
23,2,0.969136,20,0.964506,162,0.967593,272,0.967593,432,0.967593,661,0.967593,998,0.970679,1456,0.964506,2191,0.964506,2207,0.967593
24,2,0.969136,16,0.962963,154,0.966049,264,0.966049,424,0.966049,653,0.966049,990,0.969136,1448,0.962963,2183,0.962963,2199,0.966049
25,2,0.969136,8,0.96142,150,0.964506,256,0.964506,416,0.964506,645,0.964506,982,0.967593,1440,0.96142,2175,0.96142,2191,0.964506
26,2,0.969136,0,0.959877,142,0.962963,248,0.962963,408,0.962963,637,0.962963,978,0.966049,1432,0.959877,2167,0.959877,2183,0.962963
27,2,0.969136,0,0.959877,134,0.96142,240,0.96142,404,0.96142,629,0.96142,970,0.964506,1424,0.958333,2159,0.958333,2175,0.96142
