iteration,bucketValue,magnetism
1,1992,0.998457
2,1984,0.996914
3,1976,0.99537
4,1968,0.993827
5,1960,0.992284
6,1952,0.990741
7,1944,0.989198
8,1936,0.987654
9,1928,0.986111
10,1920,0.984568
11,1912,0.983025
12,1904,0.981481
13,1896,0.979938
14,1888,0.978395
15,1880,0.976852
16,1872,0.975309
17,1864,0.973765
18,1856,0.972222
19,1848,0.970679
20,1840,0.969136
21,1832,0.967593
22,1824,0.966049
23,1832,0.967593
24,1824,0.966049
25,1816,0.964506
26,1808,0.962963
27,1804,0.96142
28,1796,0.959877
29,1788,0.958333
30,1780,0.95679
31,1772,0.955247
32,1764,0.953704
33,1756,0.95216
34,1748,0.950617
35,1740,0.949074
36,1732,0.947531
37,1724,0.945988
38,1716,0.944444
39,1712,0.942901
40,1704,0.941358
41,1696,0.939815
42,1688,0.938272
43,1684,0.936728
44,1676,0.935185
45,1668,0.933642
46,1660,0.932099
47,1656,0.930556
48,1648,0.929012
49,1640,0.927469
50,1632,0.925926
51,1624,0.924383
52,1620,0.92284
53,1612,0.921296
54,1608,0.919753
55,1600,0.91821
56,1592,0.916667
57,1584,0.915123
58,1576,0.91358
59,1568,0.912037
60,1576,0.91358
61,1572,0.912037
62,1564,0.910494
63,1556,0.908951
64,1548,0.907407
65,1540,0.905864
66,1532,0.904321
67,1524,0.902778
68,1516,0.901235
69,1516,0.899691
70,1508,0.898148
71,1500,0.896605
72,1492,0.895062
73,1484,0.893519
74,1476,0.891975
75,1480,0.893519
76,1472,0.891975
77,1468,0.890432
78,1460,0.888889
79,1452,0.887346
80,1448,0.885802
81,1444,0.884259
82,1436,0.882716
83,1428,0.881173
84,1420,0.87963
85,1420,0.878086
86,1412,0.876543
87,1408,0.875
88,1400,0.873457
89,1400,0.875
90,1396,0.873457
91,1388,0.871914
92,1380,0.87037
93,1372,0.868827
94,1368,0.867284
95,1376,0.868827
96,1368,0.867284
97,1360,0.865741
98,1352,0.864198
99,1344,0.862654
100,1336,0.861111
101,1328,0.859568
102,1324,0.858025
103,1316,0.856481
104,1308,0.854938
105,1300,0.853395
106,1292,0.851852
107,1284,0.850309
108,1276,0.848765
109,1268,0.847222
110,1260,0.845679
111,1252,0.844136
112,1244,0.842593
113,1236,0.841049
114,1228,0.839506
115,1220,0.837963
116,1216,0.83642
117,1224,0.837963
118,1216,0.83642
119,1212,0.834877
120,1208,0.833333
121,1200,0.83179
122,1192,0.830247
123,1184,0.828704
124,1176,0.82716
125,1168,0.825617
126,1164,0.824074
127,1160,0.822531
128,1152,0.820988
129,1148,0.819444
130,1140,0.817901
131,1132,0.816358
132,1124,0.814815
133,1120,0.813272
134,1116,0.811728
135,1124,0.813272
136,1128,0.814815
137,1120,0.813272
138,1128,0.814815
139,1120,0.813272
140,1112,0.811728
141,1104,0.810185
142,1096,0.808642
143,1092,0.807099
144,1088,0.805556
145,1080,0.804012
146,1076,0.802469
147,1068,0.800926
148,1064,0.799383
149,1056,0.79784
150,1052,0.796296
151,1052,0.794753
152,1044,0.79321
153,1036,0.791667
154,1028,0.790123
155,1024,0.78858
156,1032,0.790123
157,1028,0.78858
158,1024,0.787037
159,1016,0.785494
160,1020,0.787037
161,1012,0.785494
162,1004,0.783951
163,1004,0.782407
164,1000,0.780864
165,1008,0.782407
166,1004,0.780864
167,1012,0.782407
168,1004,0.780864
169,1004,0.779321
170,996,0.777778
171,988,0.776235
172,980,0.774691
173,972,0.773148
174,964,0.771605
175,960,0.770062
176,952,0.768519
177,948,0.766975
178,940,0.765432
179,932,0.763889
180,928,0.762346
181,920,0.760802
182,924,0.762346
183,920,0.760802
184,912,0.759259
185,904,0.757716
186,896,0.756173
187,888,0.75463
188,880,0.753086
189,872,0.751543
190,864,0.75
191,872,0.751543
192,864,0.75
193,860,0.748457
194,860,0.746914
195,852,0.74537
196,848,0.743827
197,848,0.742284
198,844,0.740741
199,836,0.739198
200,828,0.737654
201,820,0.736111
202,816,0.734568
203,808,0.733025
204,804,0.731481
205,808,0.733025
206,816,0.734568
207,808,0.733025
208,800,0.731481
209,804,0.733025
210,796,0.731481
211,800,0.733025
212,792,0.731481
213,788,0.729938
214,780,0.728395
215,780,0.726852
216,776,0.725309
217,768,0.723765
218,760,0.722222
219,752,0.720679
220,744,0.719136
221,736,0.717593
222,728,0.716049
223,720,0.714506
224,720,0.712963
225,712,0.71142
226,704,0.709877
227,696,0.708333
228,692,0.70679
229,688,0.705247
230,684,0.703704
231,692,0.705247
232,684,0.703704
233,684,0.70216
234,676,0.700617
235,684,0.70216
236,680,0.700617
237,684,0.70216
238,676,0.700617
239,672,0.699074
240,664,0.697531
241,656,0.695988
242,660,0.697531
243,664,0.699074
244,664,0.697531
245,668,0.699074
246,664,0.697531
247,660,0.695988
248,656,0.694444
249,648,0.692901
250,648,0.691358
251,644,0.689815
252,640,0.688272
253,640,0.686728
254,636,0.685185
255,628,0.683642
256,636,0.685185
257,632,0.683642
258,624,0.682099
259,620,0.680556
260,620,0.682099
261,612,0.680556
262,604,0.679012
263,596,0.677469
264,592,0.675926
265,584,0.674383
266,580,0.67284
267,572,0.671296
268,564,0.669753
269,560,0.66821
270,552,0.666667
271,552,0.665123
272,560,0.666667
273,552,0.665123
274,548,0.66358
275,556,0.665123
276,560,0.666667
277,552,0.665123
278,544,0.66358
279,536,0.662037
280,528,0.660494
281,528,0.662037
282,524,0.660494
283,516,0.658951
284,508,0.657407
285,500,0.655864
286,500,0.654321
287,504,0.655864
288,500,0.654321
289,496,0.652778
290,496,0.651235
291,492,0.649691
292,492,0.648148
293,484,0.646605
294,480,0.645062
295,476,0.643519
296,472,0.641975
297,476,0.643519
298,468,0.641975
299,476,0.643519
300,468,0.641975
301,460,0.640432
302,452,0.638889
303,448,0.637346
304,440,0.635802
305,448,0.637346
306,444,0.635802
307,440,0.634259
308,436,0.632716
309,428,0.631173
310,420,0.62963
311,416,0.628086
312,408,0.626543
313,400,0.625
314,392,0.623457
315,384,0.621914
316,384,0.62037
317,376,0.618827
318,372,0.617284
319,368,0.615741
320,360,0.614198
321,364,0.615741
322,356,0.614198
323,348,0.612654
324,340,0.611111
325,348,0.612654
326,340,0.611111
327,336,0.609568
328,328,0.608025
329,320,0.606481
330,320,0.604938
331,316,0.603395
332,312,0.601852
333,320,0.603395
334,328,0.604938
335,336,0.606481
