iteration,bucketValue,magnetism
1,1592,0.998457
2,1584,0.996914
3,1576,0.99537
4,1568,0.993827
5,1560,0.992284
6,1552,0.990741
7,1544,0.989198
8,1536,0.987654
9,1528,0.986111
10,1520,0.984568
11,1512,0.983025
12,1520,0.984568
13,1512,0.983025
14,1504,0.981481
15,1496,0.979938
16,1488,0.978395
17,1480,0.976852
18,1472,0.975309
19,1464,0.973765
20,1456,0.972222
21,1448,0.970679
22,1440,0.969136
23,1432,0.967593
24,1424,0.966049
25,1416,0.964506
26,1408,0.962963
27,1400,0.96142
28,1392,0.959877
29,1384,0.958333
30,1376,0.95679
31,1368,0.955247
32,1360,0.953704
33,1352,0.95216
34,1348,0.950617
35,1344,0.949074
36,1336,0.947531
37,1328,0.945988
38,1320,0.944444
39,1312,0.942901
40,1308,0.941358
41,1300,0.939815
42,1292,0.938272
43,1284,0.936728
44,1276,0.935185
45,1268,0.933642
46,1260,0.932099
47,1268,0.933642
48,1276,0.935185
49,1268,0.933642
50,1260,0.932099
51,1252,0.930556
52,1244,0.929012
53,1236,0.927469
54,1244,0.929012
55,1236,0.927469
56,1232,0.925926
57,1224,0.924383
58,1228,0.925926
59,1220,0.924383
60,1228,0.925926
61,1220,0.924383
62,1228,0.925926
63,1220,0.924383
64,1216,0.92284
65,1208,0.921296
66,1200,0.919753
67,1196,0.91821
68,1188,0.916667
69,1180,0.915123
70,1172,0.91358
71,1168,0.912037
72,1160,0.910494
73,1168,0.912037
74,1160,0.910494
75,1152,0.908951
76,1144,0.907407
77,1136,0.905864
78,1128,0.904321
79,1120,0.902778
80,1128,0.904321
81,1120,0.902778
82,1112,0.901235
83,1104,0.899691
84,1096,0.898148
85,1088,0.896605
86,1080,0.895062
87,1076,0.893519
88,1072,0.891975
89,1064,0.890432
90,1056,0.888889
91,1048,0.887346
92,1040,0.885802
93,1032,0.884259
94,1024,0.882716
95,1016,0.881173
96,1008,0.87963
97,1016,0.881173
98,1016,0.87963
99,1012,0.878086
100,1004,0.876543
101,996,0.875
102,988,0.873457
103,980,0.871914
104,976,0.87037
105,972,0.868827
106,964,0.867284
107,956,0.865741
108,948,0.864198
109,940,0.862654
110,932,0.861111
111,924,0.859568
112,916,0.858025
113,908,0.856481
114,900,0.854938
115,892,0.853395
116,884,0.851852
117,880,0.850309
118,872,0.848765
119,868,0.847222
120,876,0.848765
121,872,0.847222
122,868,0.845679
123,860,0.844136
124,852,0.842593
125,844,0.841049
126,840,0.839506
127,836,0.837963
128,828,0.83642
129,820,0.834877
